build_id,build_nm,photo_path,explain_path,design,build_type,kor_flag,iso_flag,koppen,gfa,structure,re_year,re_cost,wall,roof,window,windowframe,airtight,windowcontrol,awning,n_ventilation,n_lighting,heating,cooling,coolheat,ventilation,lighting,sunlight,solarheat,geothermal,windpower,bio,fuelcell,cogeneration,ess,re_before_energy,re_after_energy,re_energy,re_before_emission,re_after_emission,re_emission,re_before_lcc,re_after_lcc,re_life_cycle_cost
28,과천시민회관,img/search_fig/28.png,img/popup/explain 28.jpg,1,11,,410,dwa,41056,1,,1167000000,102,,,,553,,,,,553,,606,702,,,,,,,,,,21781291,10715616,0.51,9235267,4543421,0.51,939605,32224373,0.68
29,경북 구미시청 본관,img/search_fig/29.png,img/popup/explain 29.jpg,1,11,,410,dfa,8360,1,,6074000000,"107, 102",,210,403,556,,403,,,556,,606,702,752,804,,,,,1051,,,2895219,1627692,0.44,1227573,690141,0.44,939605,32224373,0.68
30,부산 금정구청,img/search_fig/30.png,img/popup/explain 30.jpg,1,11,,410,cfa,14464,1,,6891000000,"103, 102",,210,,556,,,,,556,,606,"702, 706",752,804,,,,,,,,7276323,2849408,0.61,3085161,1208149,0.61,939605,32224373,0.68
31,경남 하동군청사,img/search_fig/31.png,img/popup/explain 31.jpg,1,11,,410,cwa,5330,1,,144100000,"109, 107",,210,,556,,,,,556,,606,702,752,801,,,,,,,,1411850,708890,0.5,598624,300569,0.5,939605,32224373,0.68
32,하남시 신장도서관,img/search_fig/32.png,img/popup/explain 32.jpg,1,3,,410,dwa,2145,1,,2233000000,107,,210,,,,,,,,,606,702,,801,,,,,,,,539635,51981,0.9,228805,22040,0.9,939605,32224373,0.68
33,부산 중구청,img/search_fig/33.png,img/popup/explain 33.jpg,1,11,,410,cfa,7860,1,,4855000000,"107, 104",,210,,556,,,,,556,,606,702,752,802,,,,,,,,2266974,1233234,0.46,961197,522891,0.46,939605,32224373,0.68
34,대구 시립중앙도서관,img/search_fig/34.png,img/popup/explain 34.jpg,1,7,,410,cwa,10181,1,,3533000000,"107, 102",,210,,,,,,,,,602,702,752,801,,,,,,,,2696310,1326584,0.51,1143235,562472,0.51,939605,32224373,0.68
35,충남 청양 우체국,img/search_fig/35.png,img/popup/explain 35.jpg,1,11,,410,dfa,1569,1,,694000000,107,,210,,,,,,,,,606,702,,801,,,,,,,,377333,141500,0.63,159989,59996,0.62,939605,32224373,0.68
36,국립농산물품질관리원 경남지원,img/search_fig/36.png,img/popup/explain 36.jpg,1,11,,410,cwa,1697,1,,698000000,"107, 102",,210,,556,,,,,556,,,702,752,802,,,,,,,,544907,235544,0.57,231041,99871,0.57,939605,32224373,0.68
37,한국철도공사 동대구역사,img/search_fig/37.png,img/popup/explain 37.jpg,1,11,,410,cwa,31965,1,,17458000000,107,,210,403,,,403,,,,,604,706,"752, 753",802,,,,,,,,52934040,10206425,0.81,24440333,4327524,0.82,939605,32224373,0.68
38,전남 장성군 북일면 행정복지센터,img/search_fig/38.png,img/popup/explain 38.jpg,1,11,,410,cfa,722,1,,447000000,"107, 102",,210,,556,,,,,556,,606,702,752,802,,,,,,,,314575,88156,0.72,133380,37378,0.72,939605,32224373,0.68
39,강원대학교 농업생명과학대학 1호관,img/search_fig/39.png,img/popup/explain 39.jpg,1,7,,410,dwa,4222,1,,2033000000,107,,210,,,,,,,,,606,702,,801,,,,,,,,6842430,887464,0.87,2901190,376285,0.87,939605,32224373,0.68
40,서울 서초구 서운중학교,img/search_fig/40.png,img/popup/explain 40.jpg,1,7,,410,dwa,8662,1,,3057000000,107,,210,403,,,403,,,,,606,702,752,801,,,,,,,,207960,99613,0.52,88175,42236,0.52,939605,32224373,0.68
41,서울대학교 공학관2(31동),img/search_fig/41.png,img/popup/explain 41.jpg,1,7,,410,dwa,6987,1,,1776000000,107,,210,,,,,,,,,606,,752,801,,,,,,,,2541778,1382727,0.46,1077714,586276,0.46,939605,32224373,0.68
42,한국철도공사서울사옥,img/search_fig/42.png,img/popup/explain 42.jpg,1,11,,410,dwa,23272,1,,4646000000,102,,210,,"557, 556",,,,,"557, 556",651,,"703, 706",752,801,,,,,,,,9982964,6099591,0.39,4232777,2586227,0.39,939605,32224373,0.68
43,부산 범일2동 주민센터,img/search_fig/43.png,img/popup/explain 43.jpg,1,11,,410,cwa,400,1,,380000000,"109, 104",,,,,,,,,,,606,702,752,802,,,,,,,,159755,31360,0.8,67736,13297,0.8,939605,32224373,0.68
44,대구 침산1동 주민센터,img/search_fig/44.png,img/popup/explain 44.jpg,1,11,,410,cwa,551,1,,345000000,"107, 102",,210,403,,,403,,,,,,702,752,"802, 805",,,,,,,,146446,50802,0.65,62093,21540,0.65,939605,32224373,0.68
