build_id,build_nm,photo_path,explain_path,design,build_type,kor_flag,iso_flag,koppen,gfa,structure,re_year,re_cost,wall,roof,window,windowframe,airtight,windowcontrol,awning,n_ventilation,n_lighting,heating,cooling,coolheat,ventilation,lighting,sunlight,solarheat,geothermal,windpower,bio,fuelcell,cogeneration,ess,re_before_energy,re_after_energy,re_energy,re_before_emission,re_after_emission,re_emission,re_before_lcc,re_after_lcc,re_life_cycle_cost
48,목포 대학교 사회 과학관,/tcase/48.png,/explain/explain 48.jpg,1,7,,410,cfa,13605,1,,2740000,"107, 102",,210,,,,,,,,,606,702,752,801,852,902,,,,,,4402578 ,2613521 ,0.41 ,1866693 ,1108133 ,0.41 ,939605 ,32224373 ,0.68 
49,정읍시 연지청사,/tcase/49.png,/explain/explain 49.jpg,1,11,,410,dfa,1739,1,,1641828,103,,,,,,,,,,,,702,752,801,852,,,,,,,536829 ,379102 ,0.29 ,227615 ,160739 ,0.29 ,939605 ,32224373 ,0.68 
50,거창 여자고등학교,/tcase/50.png,/explain/explain 50.jpg,1,7,,410,dwa,9487,1,,,103,,210,,,,,,,,,,702,752,801,852,,,,,,,2521645 ,1613739 ,0.36 ,1069177 ,684225 ,0.36 ,939605 ,32224373 ,0.68 
51,통영시청 제2청사,/tcase/51.png,/explain/explain 51.jpg,1,11,,410,cwa,5685,1,,,,,,,,,,,,,,,,,,,,,,,,,151210 ,85275 ,0.24 ,64113 ,36157 ,0.44 ,939605 ,32224373 ,0.68 
52,영천시청 본관,/tcase/52.png,/explain/explain 52.jpg,1,11,,410,cfa,5496,1,,,105,,,,,,,,,,,,702,,802,,,,,,,,778712 ,676008 ,0.13 ,330174 ,286627 ,0.13 ,939605 ,32224373 ,0.68 
53,경찰청사 남관,/tcase/53.png,/explain/explain 53.jpg,1,11,,410,dwa,3571,1,,,,,,,,,,,,,,,,,,,,,,,,,136315 ,87581 ,0.36 ,57798 ,37134 ,0.36 ,939605 ,32224373 ,0.68 
54,서울도봉경찰서,/tcase/54.png,/explain/explain 54.jpg,1,11,,410,dwa,9100,1,,,,,,,,,,,,,,,,752,,,,,,,,,779861 ,591500 ,0.24 ,330661 ,250796 ,0.24 ,939605 ,32224373 ,0.68 
55,전라북도 농업기술원,/tcase/55.png,/explain/explain 55.jpg,1,7,,410,dfa,14414,1,,,103,,,,,,,,,,,,,,,,,,,,,,665903 ,475662 ,0.28 ,282343 ,201681 ,0.29 ,939605 ,32224373 ,0.68 
56,통영시 수산과학관,/tcase/56.png,/explain/explain 56.jpg,1,7,,410,cwa,3587,1,,,109,,,,,,,,,,,,,,,,,,,,,,101871 ,57392 ,0.24 ,43193 ,24334 ,0.44 ,939605 ,32224373 ,0.68 
57,목포자연사박물관 자연사관동,/tcase/57.png,/explain/explain 57.jpg,1,7,,410,cfa,6611,1,,,103,,,,,,,,,,,,,,,,,,,,,,367566 ,284273 ,0.22 ,155848 ,120532 ,0.23 ,939605 ,32224373 ,0.68 
