explain_path,photo_path,name,con_yr,re_yr,bldg_type,bldg_loc,Area,gr_floor,under_floor,re_cost,energy_reduction,co2_reduction
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_53.png,img/rec_fig/53.png,경찰청사 남관,1988.59,2015.62,11.00,1.00,3571.00,15.00,0.98,1641828.00,0.36,0.36
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_54.png,img/rec_fig/54.png,서울도봉경찰서,1988.59,2015.62,11.00,1.00,9099.90,4.00,1.00,1641828.00,0.24,0.24
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_55.png,img/rec_fig/55.png,전라북도 농업기술원,1988.59,2015.62,7.00,8.00,14413.50,3.00,0.00,1641828.00,0.28,0.29
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_56.png,img/rec_fig/56.png,통영시 수산과학관,1988.59,2015.62,7.00,12.00,3587.00,2.00,1.00,1641828.00,0.24,0.44
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_57.png,img/rec_fig/57.png,목포자연사박물관 자연사관동,1988.59,2015.62,7.00,9.00,6610.90,4.30,0.98,1641828.00,0.22,0.23
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_58.png,img/rec_fig/58.png,동학농민혁명기념관(전시관동),1988.59,2015.62,3.00,8.00,3945.70,4.30,0.98,1641828.00,0.23,0.23
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_59.png,img/rec_fig/59.png,서울대학교 052(예술관(미대)3),1988.59,2015.62,7.00,1.00,4383.70,4.30,0.98,1641828.00,0.48,0.48
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_60.png,img/rec_fig/60.png,서울대학교 021(약학관1),1988.59,2015.62,7.00,1.00,6575.50,4.30,0.98,1641828.00,0.42,0.57
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_61.png,img/rec_fig/61.png,충남대학교 실내체육관,1988.59,2015.62,7.00,6.00,3682.00,4.30,0.98,1641828.00,0.21,0.21
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_62.png,img/rec_fig/62.png,충남대학교 중앙도서관,1988.59,2015.62,7.00,6.00,21618.00,4.30,0.98,1641828.00,0.36,0.36
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_63.png,img/rec_fig/63.png,수정청소년수련관,1988.59,2015.62,9.00,2.00,7746.40,4.30,0.98,1641828.00,0.34,0.34
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_64.png,img/rec_fig/64.png,동작구문화복지센터(보건소),1988.59,2015.62,6.00,1.00,10022.00,4.30,0.98,1641828.00,0.10,0.10
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_65.png,img/rec_fig/65.png,단양 수련시설,1994.00,2015.00,9.00,4.00,8220.18,5.86,1.00,3823000000.00,0.31,0.31
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_66.png,img/rec_fig/66.png,여수 하희현가 그린리모델링,1998.00,2017.00,1.00,9.00,18184.00,3.00,0.00,3823000000.00,0.38,0.38
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_67.png,img/rec_fig/67.png,외유내강,1969.00,2017.00,1.00,14.00,204.82,2.00,1.00,3823000000.00,0.35,0.35
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_68.png,img/rec_fig/68.png,부평 단독주택,1984.00,2016.00,1.00,3.00,146.13,2.00,1.00,89680000.00,0.65,0.65
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_69.png,img/rec_fig/69.png,경기도 수원시 권선구 단독주택 2층,1987.00,2016.00,1.00,2.00,209.43,2.00,1.00,7300000.00,0.33,0.33
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_70.png,img/rec_fig/70.png,EAN 테크놀로지 신사옥,1998.00,2017.00,11.00,1.00,2000.00,10.00,1.00,7300000.00,0.38,0.38
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_71.png,img/rec_fig/71.png,부평 단독주택,1984.00,2016.00,1.00,3.00,146.00,2.00,1.00,7300000.00,0.66,0.66
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_72.png,img/rec_fig/72.png,한서빌딩,1983.00,2017.00,11.00,1.00,2467.00,5.00,1.00,7300000.00,0.52,0.52
