Id,사진,이름,준공년도,리모델링년도,빌딩타입,위치,면적,지상층수,지하층수,전_에너지소비량,후_에너지소비량,에너지저감율,전_벽열관류율,후_벽열관류율,벽열관류율_향상율,전_바닥열관류율,후_바닥열관류율,바닥열관류율_향상율,전_지붕열관류율,후_지붕열관류율,지붕열관류율_향상율,전_창문열관류율,후_창문열관류율,창문열관류율_향상율,전_기밀성,후_기밀성,기밀성_향상율,전_일사차폐계수,후_일사차폐계수,일사차폐계수_향상율,전_이산화탄소배출량,후_이산화탄소배출량,이산화탄소배출량_향상율
42,,한국철도공사서울사옥(다시확인),1979,2015.619048,11,1,23272.28,8,2,9982964.321,6099591.2,0.389,3.8,0.213,0.943947368,1.312,0.29,0.778963415,1.037,0.129,0.8756027,3.596,1.028,0.714126808,37.58,5,0.866950506,2.61,0.27,0.896551724,4232777,2586227,0.38899994
43,,부산 범일2동 주민센터,1989,2015.619048,11,14,400.26,2,0.979591837,159755.4763,31360,0.8037,5.6,0.32,0.942857143,1.312,0.35,0.733231707,1.037,0.18,0.826422372,6.6,1.8,0.727272727,57.03,5,0.912326846,2.61,0.595,0.772030651,67736,13297,0.803693752
44,,대구 침산1동 주민센터,1992,2015.619048,11,13,551.48,2,1,146446.2381,50802.2,0.6531,2.5,0.32,0.872,1.312,0.35,0.733231707,1.037,0.18,0.826422372,5.3,1.8,0.660377358,36.58,5,0.863313286,2.61,0.595,0.772030651,62093,21540,0.653100994
45,,한국 환경산업 기술원 연수동,1977,2015.619048,11,1,3514,4,1,1998763,667660,0.6659,3.8,0.189,0.950263158,2.865,0.3,0.895287958,3.154,0.126,0.960050729,4,1.47,0.6325,37.58,5,0.866950506,0.688,0.516,0.25,847476,283088,0.665963402
46,,인천 의료원 장례식장,1997,2015.619048,15,3,3469,4,1,2004388,1225598,0.389,0.58,0.239,0.587931034,0.58,0.353,0.39137931,0.41,0.162,0.604878049,3.596,2,0.443826474,37.58,2,0.946780202,0.688,0.516,0.25,849861,519654,0.388542362
47,,춘천 교도소,1981,2015.619048,16,16,112554,2,0.979591837,67982616,26393913,0.59,3.8,0,1,1.312,0.24,0.817073171,1.037,0.15,0.855351977,3.596,1.5,0.582869855,37.58,5,0.866950506,2.61,0.516,0.802298851,28824629,11191019,0.611754968
48,,목포 대학교 사회 과학관,1982,2015.619048,7,9,13605,4,1,4402578,2613521,0.407,2.46,0.34,0.861788618,0.58,0.139,0.760344828,0.58,0.139,0.760344828,3.596,1.8,0.499443826,37.58,5,0.866950506,0.76,0.4,0.473684211,1866693,1108133,0.406365696
49,,정읍시 연지청사,1990,2015.619048,11,8,1739,4,1,536829,379102,0.2906,0.52,0.18,0.653846154,1.96,1.96,0,0.56,0.18,0.678571429,3.6,1.4,0.611111111,37.58,5,0.866950506,0.76,0.57,0.25,227615,160739,0.293811919
50,,거창 여자고등학교,1972,2015.619048,7,12,9487,3,0.979591837,2521645,1613739,0.36,0.709,0.29,0.590973202,3.215,0.37,0.884914463,0.703,0.19,0.72972973,3.1,1.16,0.625806452,37.58,5,0.866950506,0.73,0.53,0.273972603,1069177,684225,0.360045156
51,,통영시청 제2청사,1988.588235,2015.619048,11,12,5684.6,5,1,151210,85275,0.242,0.328,0.02,0.93902439,0.97,0.35,0.639175258,0.5,0.18,0.64,3.159,1.771,0.43937955,37.58,5,0.866950506,2.61,0.595,0.772030651,64113,36157,0.436042612
52,,영천시청 본관,1988.588235,2015.619048,11,11,5495.5,3,0,778712,676008,0.1299,0.27,0.24,0.111111111,1.164,0.35,0.699312715,0.582,0.15,0.742268041,1.8,1.8,0,37.58,5,0.866950506,2.61,0.595,0.772030651,330174,286627,0.131891063
53,,경찰청사 남관,1988.588235,2015.619048,11,1,3571,15,0.979591837,136315.1,87581.44,0.3575,1.347,1.068,0.207126949,1.164,0.29,0.750859107,0.582,0.15,0.742268041,1.347,0.631,0.531551596,37.58,5,0.866950506,2.61,0.595,0.772030651,57798,37134,0.357521021
54,,서울도봉경찰서,1988.588235,2015.619048,11,1,9099.9,4,1,779861,591500,0.2439,0.582,0.24,0.587628866,0.582,0.29,0.501718213,0.407,0.15,0.631449631,4,1.3,0.675,37.58,5,0.866950506,2.61,0.595,0.772030651,330661,250796,0.241531357
