Id,사진,이름,준공년도,리모델링년도,빌딩타입,위치,면적,지상층수,지하층수,전_에너지소비량,후_에너지소비량,에너지저감율,전_벽열관류율,후_벽열관류율,벽열관류율_향상율,전_바닥열관류율,후_바닥열관류율,바닥열관류율_향상율,전_지붕열관류율,후_지붕열관류율,지붕열관류율_향상율,전_창문열관류율,후_창문열관류율,창문열관류율_향상율,전_기밀성,후_기밀성,기밀성_향상율,전_일사차폐계수,후_일사차폐계수,일사차폐계수_향상율,전_이산화탄소배출량,후_이산화탄소배출량,이산화탄소배출량_향상율
189,,Two Piers Housing Co-Operative,1954.714286,2010,2,39,177.44,1,0,578.9473684,110,0.81,0.946,0.15,0.841437632,1.312,0.14,0.893292683,1.037,0.1,0.903567985,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,107,23,0.785046729
190,,Crawley Homes,1950,2010,2,38,78.97,1,0,458.6206897,133,0.71,0.946,0.15,0.841437632,1.312,0.38,0.710365854,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,84,28,0.666666667
191,,Princedale Road,1910,2010,2,32,0,1,0,250.9803922,128,0.49,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,70,20,0.714285714
192,,Mosaic Midmoor Road,1910,2010,2,32,0,1,0,469.6969697,155,0.67,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,77,32,0.584415584
193,,Penzance,1950,2010,2,41,0,1,0,538.0952381,113,0.79,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,148,17,0.885135135
194,,406 Collins Street,1960,2011,11,65,4004.12,1.648648649,0.054054054,500,250,0.5,0.946,0.45,0.524312896,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,212,106,0.5
195,,182 Capel Street,1984,2011,11,65,1600.72,3,1,118,59,0.5,0.946,0.45,0.524312896,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,50,25,0.5
196,,Council House 2 (CH2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,1525 WILSON BOULEVARD,1987,2010,11,30,29109.95,12,0,666.6666667,500,0.25,0.946,0.45,0.524312896,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,283,212,0.250883392
198,,Johann B?mstrasse 34 + 36,1960,2013,2,67,2844.97,3,1,185.7142857,52,0.72,0.946,0.87,0.080338266,1.312,0.45,0.657012195,1.037,0.87,0.161041466,3.596,0.87,0.758064516,37.58,5,0.866950506,2.61,0.595,0.772030651,78,22,0.717948718
199,,Vester Voldgade.DK,1938,2015,11,68,6734.54,5,0,117.2,58.6,0.5,0.946,1.23,-0.300211416,1.312,0.45,0.657012195,1.037,0.18,0.826422372,3.596,2,0.443826474,37.58,5,0.866950506,2.61,0.595,0.772030651,50,25,0.5
200,,PHI_GAG_Hoheloog_Ludwigshafen,1965,2007,2,75,960.15,3,0,266.6666667,16,0.94,0.946,0.1,0.894291755,1.312,0.17,0.870426829,1.037,0.1,0.903567985,3.596,0.8,0.77753059,37.58,5,0.866950506,2.61,0.595,0.772030651,106,7,0.933962264
201,,Factor10_N?nberg,1930,2002,2,76,960.15,2,0,156.25,25,0.84,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,66,11,0.833333333
202,,Gym Ostfildern,1970,2008,10,77,2439.91,1.648648649,0.054054054,164.4444444,74,0.55,0.946,0.2,0.78858351,1.312,0.45,0.657012195,1.037,0.2,0.807135969,3.596,1.29,0.641268076,37.58,5,0.866950506,2.61,0.595,0.772030651,70,31,0.557142857
203,,Angela School,1965,2010,7,78,2670.03,2,0,318.1818182,70,0.78,0.946,0.45,0.524312896,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,135,30,0.777777778
204,,Friedrich-Fr?el-School Olbersdorf,1928,2011,7,79,5610.41,3,1,196.1538462,51,0.74,0.946,0.45,0.524312896,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,82,22,0.731707317
205,,High School Passive House,1968,2013,7,82,1016.36,2,0,800,80,0.9,0.946,0.45,0.524312896,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,339,34,0.899705015
206,,Riga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,The Mildmay Centre,1890,2012,11,32,665.19,2,0,633.3333333,95,0.85,0.946,0.45,0.524312896,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,268,40,0.850746269
208,,Grand Junction,1918,2013,11,22,3861.05,1.648648649,0.054054054,7900,79,0.99,0.946,0.085,0.910147992,1.312,0.45,0.657012195,1.037,0.3,0.710703954,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,3350,33,0.990149254
209,,Silver Spring and Lanham,1970,2014,11,29,14643.56,1.648648649,0.054054054,90.56603774,48,0.47,0.946,0.45,0.524312896,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,39,20,0.487179487
210,,Intelligence Community Campus,1946,2015,11,29,21367.69,1.648648649,0.054054054,179.245283,95,0.47,0.946,0.45,0.524312896,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,76,40,0.473684211
211,,Johnson Braund Design Group,1984,2007,11,18,743.22,1.648648649,0.054054054,71.18644068,42,0.41,0.946,0.45,0.524312896,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,30,18,0.4
