sido_code,sido_nm,sigun_code,sigun_nm,전기사용량(TOE),가스사용량(TOE),지역난방(TOE)
38,경상남도,38050,창원시,72801,72100,0
38,경상남도,38060,창원시,60326,44188,0
38,경상남도,38070,창원시,55154,61610,0
38,경상남도,38080,창원시,55129,51176,0
38,경상남도,38090,진주시,117443,78628,8937
38,경상남도,38100,통영시,59752,24757,0
38,경상남도,38111,사천시,33626,20583,0
38,경상남도,38112,김해시,168121,140319,19956
38,경상남도,38113,밀양시,35974,13464,0
38,경상남도,38114,거제시,71881,31418,0
38,경상남도,38115,양산시,116573,72148,28935
38,경상남도,38310,의령군,7377,1983,0
38,경상남도,38320,함안군,23231,9556,0
38,경상남도,38330,창녕군,20283,2471,0
38,경상남도,38340,고성군,22499,3465,0
38,경상남도,38350,남해군,14509,0,0
38,경상남도,38360,하동군,17431,1660,0
38,경상남도,38370,산청군,10936,0,0
38,경상남도,38380,함양군,11144,3395,0
38,경상남도,38390,거창군,19408,9772,0
38,경상남도,38400,합천군,13390,0,0
39,제주특별자치도,39010,제주시,187245,38051,0
39,제주특별자치도,39020,서귀포시,82792,3359,0
