,pic,name,loc,BT,Area,ER,UWaB,UWaA,UFB,UFA,URB,URA,UWiB,UWiA,ATB,ATA,SCB,SCA
68,img/rec_fig/69.png,경기도 수원시 권선구 단독주택 2층,2,1,209.43,0.328621495,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
69,img/rec_fig/70.png,EAN 테크놀로지 신사옥,1,11,2000,0.375732209,0.58,0.223,0.328,0.29,0.56,0.15,3.37,1.495,37.58,5,0.62,0.42
70,img/rec_fig/71.png,부평 단독주택,3,1,146,0.660059643,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
71,img/rec_fig/72.png,한서빌딩,1,11,2467,0.521414006,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
72,img/rec_fig/73.png,피닉스호텔,14,12,6858,0.62658129,0.946,0.32,0.328,0.35,0.56,0.18,3.59,1.8,37.58,5,0.62,0.35
73,img/rec_fig/74.png,한국외국어대학교 글로벌캠퍼스 인문경상관,2,7,6599,0.46322024,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
74,img/rec_fig/75.png,경기도 용인시 처인구 단독주택,2,1,199,0.375361146,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
75,img/rec_fig/76.png,광주 계림동 숙박시설 금수장관광호텔,10,12,3163,0.327655174,0.946,0.32,0.328,0.35,0.56,0.18,3.59,1.8,37.58,5,0.62,0.35
76,img/rec_fig/77.png,서초동 업무시설,1,11,14514,0.30881987,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
77,img/rec_fig/78.png,국도화학 공장,1,11,4826,0.271264368,0.523,0.296,0.328,0.29,0.56,0.15,4,2.1,37.58,5,0.62,0.35
78,img/rec_fig/79.png,한국외대 글로벌 캠퍼스 어문학관,2,7,13172,0.330297266,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
79,img/rec_fig/80.png,경북 영주 문수면 사무소,11,11,892,0.335910424,0.946,0.32,0.328,0.35,0.56,0.18,3.59,1.8,37.58,5,0.62,0.35
80,img/rec_fig/81.png,충북대학교 생활관(진리관),4,7,2655,0.36484375,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
81,img/rec_fig/82.png,전북 고창 동리국악당(신재효고택동리국악당),8,3,2248,0.274102079,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
82,img/rec_fig/83.png,충북 청주 시립 미술관,4,3,4546,0.408734053,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
83,img/rec_fig/84.png,서울세관 2동 청사,1,11,13346,0.31510658,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
84,img/rec_fig/85.png,경기도청 제2별관,2,11,8120,0.35162374,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
85,img/rec_fig/86.png,경북 문경시청사,11,11,10067,0.224974891,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
86,img/rec_fig/87.png,한국수자원공사 물사랑어린이집,6,8,550,0.221804511,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
87,img/rec_fig/88.png,한국건설기술연구원 (구교통연구원),2,11,8145,0.450249486,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
88,img/rec_fig/89.png,전남 무안군 농업기술센터,9,11,932,0.31026253,0.946,0.32,0.328,0.35,0.56,0.18,3.59,1.8,37.58,5,0.62,0.35
89,img/rec_fig/90.png,광주 시립 청소년 삶 디자인센터,10,6,8415,0.215554195,0.946,0.32,0.328,0.35,0.56,0.18,3.59,1.8,37.58,5,0.62,0.35
90,img/rec_fig/91.png,제주 서귀포의료원 (산후조리원),17,6,3624,0.288335518,0.946,0.41,0.328,0.47,0.56,0.25,3.59,2.2,37.58,5,0.62,0.35
91,img/rec_fig/92.png,한국도로공사 군위지사,11,11,1896,0.23677178,0.946,0.24,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
92,img/rec_fig/93.png,한국과학기술원 기계공학동,6,7,30387,0.187422629,0.946,0.289,0.328,0.29,0.56,0.15,3.59,1.4,37.58,5,0.62,0.41238
93,img/rec_fig/94.png,김포국제공항,1,11,77775,0.319028936,0.946,0.2,0.328,0.29,0.56,0.15,3.59,1.5,37.58,5,0.62,0.35
94,img/rec_fig/95.png,경기도 따복기숙사(경기도기숙사),2,2,5510,0.185434174,0.946,0.27,0.328,0.29,0.56,0.15,3.59,2.1,37.58,5,0.62,0.35
95,img/rec_fig/96.png,서울 강동구청 별관(성안별관),1,11,4705,0.738697132,0.131,0.113,0.328,0.29,0.56,0.15,1.28,0.89,37.58,5,0.62,0.35
96,img/rec_fig/97.png,대구 수성구청 별관,13,11,3100,0.2577584,0.538,0.22,0.328,0.15,0.56,0.15,4,1.4,37.58,5,0.62,0.2175
97,img/rec_fig/98.png,한국도로공사 홍천지사,16,11,1922,0.492027335,0.946,0.26,0.328,0.24,0.56,0.15,3.59,1.28,37.58,5,0.62,0.35
98,img/rec_fig/99.png,한국방송통신대학교 열린관,1,7,5808,0.529207634,0.946,0.213,0.328,0.29,0.56,0.15,3.59,1.289,37.58,5,0.62,0.35
