explain_path,photo_path,name,design,built_year,re_year,area,ground_floor,underground_floor,build_type,loc,wall,roof,window,airtight,awning,coolheat,ventilation,lighting,sunlight,solarheat,geothermal,fuelcell,ess,cost,energy,area_year_energy_,energy_grade
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_58.png,img/rec_fig/58.png,동학농민혁명기념관(전시관동),1,1989,2020,3945.70,4,1,3,8,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN,0.23,74.01,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_59.png,img/rec_fig/59.png,서울대학교 052(예술관(미대)3),1,1989,2020,4383.70,4,1,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0.48,70.00,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_60.png,img/rec_fig/60.png,서울대학교 021(약학관1),1,1989,2020,6575.50,4,1,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0.42,26.00,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_61.png,img/rec_fig/61.png,충남대학교 실내체육관,1,1989,2020,3682.00,4,1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0.21,76.00,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_62.png,img/rec_fig/62.png,충남대학교 중앙도서관,1,1989,2020,21618.00,4,1,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0.36,21.52,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_63.png,img/rec_fig/63.png,수정청소년수련관,1,1989,2020,7746.40,4,1,8,2,1,0,1,0,0,0,0,1,0,0,0,0,0,NaN,0.34,65.00,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_64.png,img/rec_fig/64.png,동작구문화복지센터(보건소),1,1989,2020,10022.00,4,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0.10,83.00,1++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_65.png,img/rec_fig/65.png,단양 수련시설,2,1994,2015,8220.18,6,1,8,4,1,0,1,1,1,1,0,1,0,0,0,0,0,3823000000.00,0.31,76.70,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_66.png,img/rec_fig/66.png,여수 하희현가 그린리모델링,2,1998,2017,18184.00,3,0,1,9,1,0,1,0,0,0,0,1,0,0,0,0,0,NaN,0.38,151.30,2
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_67.png,img/rec_fig/67.png,외유내강,2,1969,2017,204.82,2,1,1,14,1,0,0,1,0,0,0,1,0,0,0,0,0,NaN,0.35,189.00,2
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_68.png,img/rec_fig/68.png,부평 단독주택,2,1984,2016,146.13,2,1,1,3,1,0,1,1,0,0,0,1,0,0,0,0,0,89680000.00,0.65,260.04,4
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_69.png,img/rec_fig/69.png,경기도 수원시 권선구 단독주택 2층,2,1987,2016,209.43,2,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,7300000.00,0.33,27.44,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_70.png,img/rec_fig/70.png,EAN 테크놀로지 신사옥,2,1998,2017,2000.00,10,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,NaN,0.38,74.58,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_71.png,img/rec_fig/71.png,부평 단독주택,2,1984,2016,146.00,2,1,1,3,1,0,1,1,0,0,0,1,0,0,0,0,0,NaN,0.66,228.30,4
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_72.png,img/rec_fig/72.png,한서빌딩,2,1983,2017,2467.00,5,1,10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,NaN,0.52,70.41,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_73.png,img/rec_fig/73.png,피닉스호텔,2,1976,2017,6858.00,15,2,11,14,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0.63,239.09,1
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_74.png,img/rec_fig/74.png,한국외국어대학교 글로벌캠퍼스 인문경상관,2,1985,2017,6599.00,4,1,6,2,1,0,1,0,0,1,0,1,0,0,0,0,0,1100000000.00,0.46,208.70,1
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_75.png,img/rec_fig/75.png,경기도 용인시 처인구 단독주택,2,1996,2016,199.00,2,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,35000000.00,0.38,54.32,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_76.png,img/rec_fig/76.png,광주 계림동 숙박시설 금수장관광호텔,2,1998,2016,3163.00,6,1,11,10,0,0,0,0,0,0,0,1,0,0,0,0,0,140000000.00,0.33,59.20,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_77.png,img/rec_fig/77.png,서초동 업무시설,2,1995,2015,14514.00,6,1,10,1,0,0,1,0,0,0,0,1,0,0,0,0,0,495000000.00,0.31,137.20,1++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_78.png,img/rec_fig/78.png,국도화학 공장,2,1997,2016,4826.00,6,1,10,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1717100000.00,0.27,23.98,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_79.png,img/rec_fig/79.png,한국외대 글로벌 캠퍼스 어문학관,2,2002,2015,13172.00,4,1,6,2,1,0,1,0,0,1,0,1,0,0,0,0,0,3000000000.00,0.33,250.00,1
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_80.png,img/rec_fig/80.png,경북 영주 문수면 사무소,2,1985,2013,892.00,6,1,10,11,0,0,0,0,0,0,0,1,0,0,0,0,0,1333000.00,0.34,249.10,1
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_81.png,img/rec_fig/81.png,충북대학교 생활관(진리관),2,1990,2013,2655.00,6,1,11,4,1,0,0,0,0,1,0,1,0,0,0,0,0,2350000.00,0.36,162.60,1+
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_82.png,img/rec_fig/82.png,전북 고창 동리국악당(신재효고택동리국악당),2,1990,2014,2248.00,6,1,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,2550000.00,0.27,268.80,2
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_83.png,img/rec_fig/83.png,충북 청주 시립 미술관,2,1978,2015,4546.00,6,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,3469000.00,0.41,241.00,1
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_84.png,img/rec_fig/84.png,서울세관 2동 청사,2,1982,2015,13346.00,6,1,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2370000.00,0.32,220.12,1
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_85.png,img/rec_fig/85.png,경기도청 제2별관,2,1990,2014,8120.00,8,2,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1312181.00,0.35,231.60,1
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_86.png,img/rec_fig/86.png,경북 문경시청사,2,1990,2015,10067.00,4,1,10,11,0,0,0,0,0,0,0,1,0,0,0,0,0,3500000.00,0.22,231.50,1
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_87.png,img/rec_fig/87.png,한국수자원공사 물사랑어린이집,2,1988,2015,550.00,2,1,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,350000.00,0.22,269.10,2
